NUTS_ID,Country,year,month,season,NO2,SO2,CO,O3,HCHO,PM25,GDP,population,GDP_per_capita,O3_quality,CO_quality,NO2_quality,SO2_quality,PM25_quality,HCHO_quality,PM25_weighted_quality,NO2_weighted_quality,O3_weighted_quality,SO2_weighted_quality,CO_weighted_quality,HCHO_weighted_quality,Index,GDP_Normalized,Air_Inequity_Index,GDP_per_capita_min,GDP_per_capita_max,total_area_ha,green_pct,forest_pct,park_pct,industrial_pct,road_pct,avg_income,median_hh_income,pct_low_income,cars_per_household,urban_density,avg_woz_value,pct_high_education,labour_participation,GSD,HBI,EJS,risk_flag,covid_signal,industrial_exposure,aii_rank
NL112,NL,2018,1,Winter,1707.7497757999995,31702.974347,0.0344128,0.1495862,3688.374927,9.000152,2464020000.0,46396.0,53108.457625657386,3,4,6,6,1,6,0.4,1.5,0.3,0.72,0.24,0.42,3.58,0.009601764093569,0.0343743154549772,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.51,0.4579,Normal,-0.0738916256157637,0.1193,466
NL112,NL,2018,2,Winter,2872.6969272,31702.974347,0.0347986,0.154258,1293.8727906,9.457921,2464020000.0,46396.0,53108.457625657386,4,4,6,6,1,6,0.4,1.5,0.4,0.72,0.24,0.42,3.68,0.009601764093569,0.0353344918643341,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.54,0.4729,Normal,-0.0738916256157637,0.1193,464
NL112,NL,2018,3,Spring,2487.1488924,6811.890729000001,0.0353624,0.170548,1062.2327796,14.061831,2464020000.0,46396.0,53108.457625657386,4,4,6,6,2,6,0.72,1.32,0.6,0.72,0.28,0.48,4.120000000000001,0.009601764093569,0.0395592680655045,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.62,0.5129,Normal,-0.0738916256157637,0.1193,458
NL112,NL,2018,4,Spring,2008.843418,10632.1825162,0.0360269999999999,0.1678,1823.7179474,17.26837,2464020000.0,46396.0,53108.457625657386,4,4,6,6,3,6,1.08,1.32,0.6,0.72,0.28,0.48,4.48,0.009601764093569,0.0430159031391893,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.7,0.5529,High,-0.0738916256157637,0.1193,457
NL112,NL,2018,5,Spring,2202.646785,1574.196402,0.033561,0.160497,3933.065145,11.847878,2464020000.0,46396.0,53108.457625657386,4,4,6,6,2,6,0.72,1.32,0.6,0.72,0.28,0.48,4.120000000000001,0.009601764093569,0.0395592680655045,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.62,0.5129,Normal,-0.0738916256157637,0.1193,458
NL112,NL,2018,6,Summer,1646.595913,3367.198597,0.027476,0.154616,2336.890455,9.595381,2464020000.0,46396.0,53108.457625657386,4,3,6,6,1,6,0.25,0.8999999999999999,1.2,0.3,0.3,0.8999999999999999,3.85,0.009601764093569,0.0369667917602408,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.54,0.4729,Normal,-0.0738916256157637,0.1193,463
NL112,NL,2018,7,Summer,1390.687148,5317.508812,0.02874,0.149009,2132.167666,15.407888,2464020000.0,46396.0,53108.457625657386,3,3,6,6,3,6,0.75,0.8999999999999999,0.8999999999999999,0.3,0.3,0.8999999999999999,4.05,0.009601764093569,0.0388871445789546,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.67,0.5379,Normal,-0.0738916256157637,0.1193,460
NL112,NL,2018,8,Summer,1677.662712,4917.076549,0.031621,0.141329,1244.647846,10.610336,2464020000.0,46396.0,53108.457625657386,3,4,6,6,2,6,0.5,0.8999999999999999,0.8999999999999999,0.3,0.4,0.8999999999999999,3.9,0.009601764093569,0.0374468799649193,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.59,0.4979,Normal,-0.0738916256157637,0.1193,462
NL112,NL,2018,9,Autumn,3095.712913,11281.451236,0.033017,0.130356,1019.484844,11.344576,2464020000.0,46396.0,53108.457625657386,3,4,6,6,2,6,0.7,1.38,0.4499999999999999,0.72,0.28,0.48,4.01,0.009601764093569,0.0385030740152119,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.59,0.4979,High,-0.0738916256157637,0.1193,461
NL112,NL,2018,10,Autumn,3140.508446,27247.283624,0.029495,0.130053,26.185644,7.820697,2464020000.0,46396.0,53108.457625657386,3,3,6,6,1,5,0.35,1.38,0.4499999999999999,0.72,0.21,0.4,3.51,0.009601764093569,0.0337021919684273,30381.191835178324,53328.7950987066,36408,2.85,1.03,0.43,1.06,1.8,30.8,35.6,4.2,1.1,2039,317,4287930,71,1.0,0.51,0.4579,Normal,-0.0738916256157637,0.1193,468
